n,prueba,esperado,obtenido,ok,corrida
11,la balanza por obra suma lo mismo que la balanza,cuentas_distintas=0 cuadra=t con_obra=t,cuentas_distintas=0 cuadra=t con_obra=t,true,2026-09-26 14:40:09.187402+00
12,"mes contra mes y lo del año, cuenta por cuenta, contra el libro","cuentas_distintas=0 variacion_mal=0 utilidad=t,t devengo=400.00→-400.00","cuentas_distintas=0 variacion_mal=0 utilidad=t,t devengo=400.00→-400.00",true,2026-09-26 14:40:09.187402+00
13,"un ajuste del CPA posterior: en posteriores del mes, en el mes siguiente",posteriores=75.00 ajustado=acumulado+posteriores siguiente=-325.00 balance_mes=+400.00 balance_sig=+75.00,posteriores=75.00 ajustado=acumulado+posteriores siguiente=-325.00 balance_mes=+400.00 balance_sig=+75.00,true,2026-09-26 14:40:09.187402+00
14,el arrastre a 3900 al cerrar el año (por cerrar → utilidades retenidas),antes: por_cerrar=R resultado=-60.00 cuadra=0.00 · despues: arrastre=R+ajuste por_cerrar=no retenidas=3900+arrastre resultado=-60.00 enero_utilidad=-60.00 cuadra=0.00 asientos_de_cierre=0,antes: por_cerrar=R resultado=-60.00 cuadra=0.00 · despues: arrastre=R+ajuste por_cerrar=no retenidas=3900+arrastre resultado=-60.00 enero_utilidad=-60.00 cuadra=0.00 asientos_de_cierre=0,true,2026-09-26 14:40:09.187402+00
15,plegar 3200 a utilidades retenidas: solo presentación,distribuciones=libro plegado_en_retenidas=libro:con_escenario capital=igual cuadra=0.00 asientos=+0,distribuciones=libro plegado_en_retenidas=libro:con_escenario capital=igual cuadra=0.00 asientos=+0,true,2026-09-26 14:40:09.187402+00
16,"flujo directo = indirecto = cambio del efectivo, sección por sección, cada cosa en su renglón","cuadra=t,t,t,t cambio_libro=t,t,t,t otros_operacion=+1000.00 prestamos=+5000.00 dueno=-300.00 no_monetario=+250.00 apertura=inicio traspaso=fuera","cuadra=t,t,t,t cambio_libro=t,t,t,t otros_operacion=+1000.00 prestamos=+5000.00 dueno=-300.00 no_monetario=+250.00 apertura=inicio traspaso=fuera",true,2026-09-26 14:40:09.187402+00
17,el dinero de cada mes: entradas − salidas = neto = final − inicial,"identidades=t,t encadena=t final_libro=t","identidades=t,t encadena=t final_libro=t",true,2026-09-26 14:40:09.187402+00
18,"bancos, tarjetas y línea de crédito: saldo = libro",saldo_libro=t tarjeta=0.00 encadena=t movimiento=t,saldo_libro=t tarjeta=0.00 encadena=t movimiento=t,true,2026-09-26 14:40:09.187402+00
19,"antigüedad de cobrar: parcial, anticipo, nota de crédito, cheque devuelto",C4-2:factura:5000.00:1000.00:0-30 | C4-3:factura:500.00:0.00:0-30 | C4-5:factura:3000.00:0.00:0-30:cargos=6000.00:abonos=3000.00 | C4-QB-1:factura:1500.00:500.00:61-90 | C4-QB-6:factura:4000.00:0.00:31-60 | sin_partida:sin_partida:-300.00:0.00:a_favor | anticipo=cerrado anulada=cerrada total=mayor,C4-2:factura:5000.00:1000.00:0-30 | C4-3:factura:500.00:0.00:0-30 | C4-5:factura:3000.00:0.00:0-30:cargos=6000.00:abonos=3000.00 | C4-QB-1:factura:1500.00:500.00:61-90 | C4-QB-6:factura:4000.00:0.00:31-60 | sin_partida:sin_partida:-300.00:0.00:a_favor | anticipo=cerrado anulada=cerrada total=mayor,true,2026-09-26 14:40:09.187402+00
20,"antigüedad de pagar: abono parcial, vencimiento por términos, por proveedor",papel:recibos:300.00:C4 PRUEBAS SUPPLY:vence=2026-11-05:0-30 | papel:trabajos_externos:1200.00:C4 PRUEBAS AYUDANTE:vence=-:0-30 | proveedor:-:2500.00:C4 PRUEBAS SUPPLY:vence=-:apertura | total=mayor,papel:recibos:300.00:C4 PRUEBAS SUPPLY:vence=2026-11-05:0-30 | papel:trabajos_externos:1200.00:C4 PRUEBAS AYUDANTE:vence=-:0-30 | proveedor:-:2500.00:C4 PRUEBAS SUPPLY:vence=-:apertura | total=mayor,true,2026-09-26 14:40:09.187402+00
21,gasto por categoría y por proveedor = el mayor,categoria=libro proveedor=libro supply=800.00:asiento ayudante=1200.00:asiento ferreteria=350.00:recibo_sin_alta con_alta=350.00:recibo,categoria=libro proveedor=libro supply=800.00:asiento ayudante=1200.00:asiento ferreteria=350.00:recibo_sin_alta con_alta=350.00:recibo,true,2026-09-26 14:40:09.187402+00
22,costo por obra: el auxiliar = el mayor,control=t A=13000.00/2350.00/10650.00/0.00 B=2000.00/0.00/2000.00/0.00,control=t A=13000.00/2350.00/10650.00/0.00 B=2000.00/0.00/2000.00/0.00,true,2026-09-26 14:40:09.187402+00
23,"dinero por obra: facturado, cobrado, por cobrar, costo y margen",A=13000.00/5000.00/9200.00/1500.00/2350.00/10650.00 B=2000.00/1500.00/4500.00/0.00/0.00/2000.00,A=13000.00/5000.00/9200.00/1500.00/2350.00/10650.00 B=2000.00/1500.00/4500.00/0.00/0.00/2000.00,true,2026-09-26 14:40:09.187402+00
24,"4xxx, 5100 y 5200 de la quincena: el libro = los papeles",ingresos=15500.00/15500.00 material=1150.00/1150.00 subcontratos=1200.00/1200.00 por_obra=iguales,ingresos=15500.00/15500.00 material=1150.00/1150.00 subcontratos=1200.00/1200.00 por_obra=iguales,true,2026-09-26 14:40:09.187402+00
25,toda cifra de toda vista baja a su asiento y a su papel (3274 cifras),todas bajan (vistas con filas: 16),todas bajan (vistas con filas: 16),true,2026-09-26 14:40:09.187402+00
26,"del asiento a su papel, en cada clase",aplicaciones_cobro=t cobros=t cobros_devoluciones=t facturas=t mano=t notas_credito=t recibos=t:recibos/c4-pruebas/1.jpg reverso=t trabajos_externos=t,aplicaciones_cobro=t cobros=t cobros_devoluciones=t facturas=t mano=t notas_credito=t recibos=t:recibos/c4-pruebas/1.jpg reverso=t trabajos_externos=t,true,2026-09-26 14:40:09.187402+00
27,una cuenta de QuickBooks sin mapeo: para en la primera y la nombra,primera=MX004:«C4P Banco  Uno» luego=MX004:«C4P Renta» asientos=+0,primera=MX004:«C4P Banco  Uno» luego=MX004:«C4P Renta» asientos=+0,true,2026-09-26 14:40:09.187402+00
28,"las otras trampas de QuickBooks, cada una con su error",trabajo=MX008:«Otro Cliente:Otra Obra» sin_factura=MX008 retencion_sin_obra=MX006 net_income=MX001:Net Income resultados_con_factura=MX006,trabajo=MX008:«Otro Cliente:Otra Obra» sin_factura=MX008 retencion_sin_obra=MX006 net_income=MX001:Net Income resultados_con_factura=MX006,true,2026-09-26 14:40:09.187402+00
29,la apertura con sus trampas amarra cuenta por cuenta con QuickBooks,"comparacion=ok diferencias=1110:-500.00:{criterio},1120:500.00:{criterio} 1010=26200.00 2100-2013=-150.00 1590=-6000.00 3900=-52150.00 resultado=utilidad 38050.00 cero=1","comparacion=ok diferencias=1110:-500.00:{criterio},1120:500.00:{criterio} 1010=26200.00 2100-2013=-150.00 1590=-6000.00 3900=-52150.00 resultado=utilidad 38050.00 cero=1",true,2026-09-26 14:40:09.187402+00
30,retención a 1120 por obra y 1110 por factura; el cobro se aplica a su partida,lineas=1110:facturas/-4400001:5415-roberto-9ojv:2500.00 | 1110:facturas/-4400006:agora:4000.00 | 1110:-:5415-roberto-9ojv:-300.00 | 1120:facturas/-4400001:5415-roberto-9ojv:500.00 despues_del_cobro=1500.00/500.00 partidas=t,lineas=1110:facturas/-4400001:5415-roberto-9ojv:2500.00 | 1110:facturas/-4400006:agora:4000.00 | 1110:-:5415-roberto-9ojv:-300.00 | 1120:facturas/-4400001:5415-roberto-9ojv:500.00 despues_del_cobro=1500.00/500.00 partidas=t,true,2026-09-26 14:40:09.187402+00
31,"la apertura dos veces no duplica; otra balanza no pisa (con motivo, la sustituye)",misma=sin_cambios:+0 otra=MX007:1510 asientos=+0 vivo=v1 motivo=sustituida vivo=v2 reverso=t anotaciones=2 retiradas/2 vivas comparacion=ok,misma=sin_cambios:+0 otra=MX007:1510 asientos=+0 vivo=v1 motivo=sustituida vivo=v2 reverso=t anotaciones=2 retiradas/2 vivas comparacion=ok,true,2026-09-26 14:40:09.187402+00
32,la balanza que entró al libro no se edita ni se borra,update=MX003 delete=MX003 truncate=MX003 recargar_usada=MX003 recargar_libre=ok,update=MX003 delete=MX003 truncate=MX003 recargar_usada=MX003 recargar_libre=ok,true,2026-09-26 14:40:09.187402+00
33,la apertura reversa el puente de un papel que ya trae,antes=1/0 despues=2/1 puente=no_aplica/en_apertura partidas=t antiguedad=2000.00,antes=1/0 despues=2/1 puente=no_aplica/en_apertura partidas=t antiguedad=2000.00,true,2026-09-26 14:40:09.187402+00
34,la apertura va fechada el día de la apertura y no se duplica con una a mano,otra_fecha=MX002 con_una_a_mano=MX007 sin_la_de_mano=posteada:mano:apertura_balanza_qb reversada=sustituida,otra_fecha=MX002 con_una_a_mano=MX007 sin_la_de_mano=posteada:mano:apertura_balanza_qb reversada=sustituida,true,2026-09-26 14:40:09.187402+00
35,"el mes contra QuickBooks: diferencias explicadas, utilidad, sin mapeo, nada se edita","antes=1010:100.00,6130:-100.00 utilidad_dif=100.00 mes_dif=100.00 anotadas=ok resumen=t retirada=6130 sin_mapeo=QB Misterio:f inmutables=MX003,MX003,MX003,MX003","antes=1010:100.00,6130:-100.00 utilidad_dif=100.00 mes_dif=100.00 anotadas=ok resumen=t retirada=6130 sin_mapeo=QB Misterio:f inmutables=MX003,MX003,MX003,MX003",true,2026-09-26 14:40:09.187402+00
36,la comparación por obra: la retención explicada obra por obra,"1110:5415-roberto-9ojv:2200.00/2700.00:ok | 1110:agora:4000.00/4000.00:ok control=ttt retirada=obra:ttt,cuenta:tft","1110:5415-roberto-9ojv:2200.00/2700.00:ok | 1110:agora:4000.00/4000.00:ok control=ttt retirada=obra:ttt,cuenta:tft",true,2026-09-26 14:40:09.187402+00
37,"fn_estados_control: con el libro lleno, todo en verde",mal=0 vistas_con_filas=t cuadres=t,mal=0 vistas_con_filas=t cuadres=t,true,2026-09-26 14:40:09.187402+00
38,una vista vacía o rota: fn_estados_control la dice y no se pinta,vacia=v_saldos_dinero:0/N:f rota=v_cxc_antiguedad:42P01:f otras=t protecciones=f equipo=42501,vacia=v_saldos_dinero:0/N:f rota=v_cxc_antiguedad:42P01:f otras=t protecciones=f equipo=42501,true,2026-09-26 14:40:09.187402+00
39,"el balance no netea: anticipos al pasivo, saldos a favor al activo, sobregiro al pasivo",anticipos=+1500.00 a_favor=+250.00 sobregiro=+700.00 efectivo=positivos cuadra=0.00,anticipos=+1500.00 a_favor=+250.00 sobregiro=+700.00 efectivo=positivos cuadra=0.00,true,2026-09-26 14:40:09.187402+00
40,lo que se mueve sin dinero no es flujo; cada sección igual en los dos métodos,inversion=-3000.00/-3000.00 operacion=0.00/0.00 financiamiento=0.00/0.00 sin_dinero=-43000.00:39500.00:3000.00 tarjetas=0.00 cuadra=t,inversion=-3000.00/-3000.00 operacion=0.00/0.00 financiamiento=0.00/0.00 sin_dinero=-43000.00:39500.00:3000.00 tarjetas=0.00 cuadra=t,true,2026-09-26 14:40:09.187402+00
41,"la venta de un activo: lo cobrado en inversión, la ganancia fuera de operación","directo=inversion:1500.00,operacion:0.00 indirecto=inversion:1500.00,operacion:0.00,ganancia:-1000.00 cuadra=t","directo=inversion:1500.00,operacion:0.00 indirecto=inversion:1500.00,operacion:0.00,ganancia:-1000.00 cuadra=t",true,2026-09-26 14:40:09.187402+00
42,"mes contra mes: la variación con el signo del estado; antes del libro, sin dato",ingreso=800.00/1000.00/-200.00/-20.0 gasto=150.00/100.00/50.00/50.0 antes_del_libro=nulo,ingreso=800.00/1000.00/-200.00/-20.0 gasto=150.00/100.00/50.00/50.0 antes_del_libro=nulo,true,2026-09-26 14:40:09.187402+00
43,"dos proveedores en un asiento: cada uno lo suyo, o «varios»",electro=700.00:asiento zanja=900.00:asiento varios=+1000.00 total=libro,electro=700.00:asiento zanja=900.00:asiento varios=+1000.00 total=libro,true,2026-09-26 14:40:09.187402+00
44,"el dinero de verdad: la nómina neta, el par error-reverso fuera","entradas=+0.00 salidas=+4200.00 par=t,t identidad=t","entradas=+0.00 salidas=+4200.00 par=t,t identidad=t",true,2026-09-26 14:40:09.187402+00
45,el corte 'hoy' del Panel tiene su control,vistas=7:t balance=a_hoy cuadres=8:t por_periodo=v_resultados:0:f,vistas=7:t balance=a_hoy cuadres=8:t por_periodo=v_resultados:0:f,true,2026-09-26 14:40:09.187402+00
46,"el margen de cada obra es ingresos − costo, y el del dinero por obra",ingresos=+1000.00 costo=+400.00 margen=+600.00 otros=+300.00 obras_dinero=igual,ingresos=+1000.00 costo=+400.00 margen=+600.00 otros=+300.00 obras_dinero=igual,true,2026-09-26 14:40:09.187402+00
47,el dinero por obra cuadra: el descuento no es dinero; parcial y la apertura,"facturado=+2450.00 cobrado=+2450.00 otros=+0.00 por_cobrar=+0.00 cuadra=t,t parcial=t:2026-10-01 apertura=2700.00/4000.00","facturado=+2450.00 cobrado=+2450.00 otros=+0.00 por_cobrar=+0.00 cuadra=t,t parcial=t:2026-10-01 apertura=2700.00/4000.00",true,2026-09-26 14:40:09.187402+00
48,el préstamo al accionista (1130) es inversión en los dos métodos,mapeo=prestamos_otorgados/prestamos_otorgados:inversion inversion=-2000.00/-2000.00 financiamiento=0.00/0.00 resembrado=prestamos_otorgados:+1,mapeo=prestamos_otorgados/prestamos_otorgados:inversion inversion=-2000.00/-2000.00 financiamiento=0.00/0.00 resembrado=prestamos_otorgados:+1,true,2026-09-26 14:40:09.187402+00
49,el vencimiento según los términos del proveedor,prox=2026-11-10 eom10=2026-11-10 net15th=2026-11-15 net30=2026-11-02 eom=2026-10-31 recibo=2026-10-03 raro=-,prox=2026-11-10 eom10=2026-11-10 net15th=2026-11-15 net30=2026-11-02 eom=2026-10-31 recibo=2026-10-03 raro=-,true,2026-09-26 14:40:09.187402+00
50,"la CxP de la apertura envejece desde su factura (FIFO), o sin fecha",supply=1300.00:2026-09-15:balanza:2026-10-15:B-2:31-60 sin_fecha=700.00:-:-:apertura:700.00,supply=1300.00:2026-09-15:balanza:2026-10-15:B-2:31-60 sin_fecha=700.00:-:-:apertura:700.00,true,2026-09-26 14:40:09.187402+00
51,"el resultado del año de la apertura, entero y con su etiqueta","resultado_apertura=resultado_ejercicio:38050.00,utilidades_retenidas:-38050.00 etiqueta=Resultado del 01-01-2026 al 30-09-2026 según QuickBooks (la balanza de la apertura) libro=Resultado del ejercicio 2026 desde el 01-10-2026 (el libro) acumulado_desde=2026-10-01 cuadra=0.00","resultado_apertura=resultado_ejercicio:38050.00,utilidades_retenidas:-38050.00 etiqueta=Resultado del 01-01-2026 al 30-09-2026 según QuickBooks (la balanza de la apertura) libro=Resultado del ejercicio 2026 desde el 01-10-2026 (el libro) acumulado_desde=2026-10-01 cuadra=0.00",true,2026-09-26 14:40:09.187402+00
52,la balanza final del CPA: la comparación con los ajustes posteriores,"final=t posteriores=2050:-75.00,6600:75.00 preliminar=2050,6600","final=t posteriores=2050:-75.00,6600:75.00 preliminar=2050,6600",true,2026-09-26 14:40:09.187402+00
53,la comparación por obra lleva el arrastre de su obra,4010:A:-60000.00:ok | 4010:B:-30000.00:ok | 5100:A:5000.00:ok,4010:A:-60000.00:ok | 4010:B:-30000.00:ok | 5100:A:5000.00:ok,true,2026-09-26 14:40:09.187402+00
54,"la apertura: un saldo a favor con factura y una por cobrar sin factura, con su mensaje",a_favor=MX006:saldo a favor del cliente sin_factura=MX008:factura_num,a_favor=MX006:saldo a favor del cliente sin_factura=MX008:factura_num,true,2026-09-26 14:40:09.187402+00
55,una vista vacía que el control contaba consigo misma: ahora sale en rojo,v_comparacion:0/N:f v_gasto_lineas:0/N:f v_qb_balanzas:0/N:f,v_comparacion:0/N:f v_gasto_lineas:0/N:f v_qb_balanzas:0/N:f,true,2026-09-26 14:40:09.187402+00
56,la balanza que entró no crece; la huella delata un cambio por fuera,fila_apertura=MX003 fila_mes=MX003 otra_version=ok huella=MX007 control=f,fila_apertura=MX003 fila_mes=MX003 otra_version=ok huella=MX007 control=f,true,2026-09-26 14:40:09.187402+00
57,"las protecciones de c4 se vigilan: trigger, RLS y policy",antes=t trigger=f:trg_estados_mapeo_historial rls=f:diferencias policy=f:comparacion_qb,antes=t trigger=f:trg_estados_mapeo_historial rls=f:diferencias policy=f:comparacion_qb,true,2026-09-26 14:40:09.187402+00
58,las reglas y los mapeos no se vacían con TRUNCATE,estados_mapeo=MX003 estados_lineas=MX003 estados_config=MX003 apertura_mapeo_qb=MX003,estados_mapeo=MX003 estados_lineas=MX003 estados_config=MX003 apertura_mapeo_qb=MX003,true,2026-09-26 14:40:09.187402+00
59,fn_estados_control dice en rojo lo que no conoce,dedo=v_balanse_general:0:f vacia=(ninguna):0:f nula=(nula):0:f de_paso=v_balanza_base:0:f conocida=t,dedo=v_balanse_general:0:f vacia=(ninguna):0:f nula=(nula):0:f de_paso=v_balanza_base:0:f conocida=t,true,2026-09-26 14:40:09.187402+00
60,la carga de la balanza y la apertura toman el mismo candado,carga=candado apertura=candado,carga=candado apertura=candado,true,2026-09-26 14:40:09.187402+00
61,una apertura sustituida a mano no se hace pasar por la de la balanza,fn_apertura=MX007:a mano papel=a_mano balanza_de_la_apertura=reversada control=f:a_mano,fn_apertura=MX007:a mano papel=a_mano balanza_de_la_apertura=reversada control=f:a_mano,true,2026-09-26 14:40:09.187402+00
62,un mapeo corregido con la misma balanza se aplica (con motivo),"sin_motivo=MX007:1510,1520 con_motivo=sustituida 1510=0.00 1520=30000.00 comparacion=ok","sin_motivo=MX007:1510,1520 con_motivo=sustituida 1510=0.00 1520=30000.00 comparacion=ok",true,2026-09-26 14:40:09.187402+00
63,una anotación por obra en un mes sin Customer:Job no lo deja en rojo,"comparacion=ok obra_filas=0 control=t,t","comparacion=ok obra_filas=0 control=t,t",true,2026-09-26 14:40:09.187402+00
64,volver a pegar c4 no borra vistas ni funciones ajenas sin avisar,"antes=nada con_ajenas=la función fn_c4p_ajena(), la vista v_c4p_ajena","antes=nada con_ajenas=la función fn_c4p_ajena(), la vista v_c4p_ajena",true,2026-09-26 14:40:09.187402+00
65,la factura por su número de QuickBooks (factura_num),con_obra=-4400001 dos=MX008:2 facturas no_esta=MX008 distintas=22023 id_por_numero=MX008:factura_num,con_obra=-4400001 dos=MX008:2 facturas no_esta=MX008 distintas=22023 id_por_numero=MX008:factura_num,true,2026-09-26 14:40:09.187402+00
66,la fila TOTAL del export de QuickBooks no se suma,"apertura=filas:2,debe:100.00,haber:100.00,total:ignorada/coincide mal=f comparacion=2","apertura=filas:2,debe:100.00,haber:100.00,total:ignorada/coincide mal=f comparacion=2",true,2026-09-26 14:40:09.187402+00
67,"la gráfica del Panel lee el libro una vez, no una por mes",flujo_real=una_pasada meses=2,flujo_real=una_pasada meses=2,true,2026-09-26 14:40:09.187402+00
68,el mayor empieza cada año en cero en las cuentas de resultados,resultados=balanza:t del_anio=+300.37 banco=balanza:t,resultados=balanza:t del_anio=+300.37 banco=balanza:t,true,2026-09-26 14:40:09.187402+00
69,el año siguiente con el de la apertura sin cerrar: retenidas y por cerrar,retenidas=las_del_31dic por_cerrar=el_resultado_del_31dic resultado_ene=+5000.00 cuadra=t,retenidas=las_del_31dic por_cerrar=el_resultado_del_31dic resultado_ene=+5000.00 cuadra=t,true,2026-09-26 14:40:09.187402+00
70,un banco en rojo: el efectivo del flujo es el del balance,"final=balance:t,t panel=balance:t sobregiro_flujo=+700.00/+700.00 sobregiro_balance=+700.00 cuadre=t","final=balance:t,t panel=balance:t sobregiro_flujo=+700.00/+700.00 sobregiro_balance=+700.00 cuadre=t",true,2026-09-26 14:40:09.187402+00
71,"el costo por obra se concilia contra el mayor, con lo sin repartir a la vista",c5011=-600.00:-600.00:t c5015=+900.00:+900.00:t costo=+1600.00+300.00=+1900.00:t obra=+1600.00 cuadre=t,c5011=-600.00:-600.00:t c5015=+900.00:+900.00:t costo=+1600.00+300.00=+1900.00:t obra=+1600.00 cuadre=t,true,2026-09-26 14:40:09.187402+00
72,un activo con préstamo y enganche en un asiento no infla el flujo,"un_asiento=inv:-5000.00/-5000.00,fin:0.00/0.00,sd:-35000.00/+35000.00 igual_a_dos=t cuadra=t","un_asiento=inv:-5000.00/-5000.00,fin:0.00/0.00,sd:-35000.00/+35000.00 igual_a_dos=t cuadra=t",true,2026-09-26 14:40:09.187402+00
73,la retención por pagar de la apertura va con su proveedor,apertura_2020=proveedor pago: saldos_a_favor=+0.00 retencion_por_pagar=-1000.00 antiguedad=+0.00,apertura_2020=proveedor pago: saldos_a_favor=+0.00 retencion_por_pagar=-1000.00 antiguedad=+0.00,true,2026-09-26 14:40:09.187402+00
74,"ningún saldo contrario se compensa en el balance (2900 deudor, 941 pagado de más)",2900=+3000.00 2220=+600.00 accionista_por_cobrar=libro prestamo_accionista=libro impuestos_a_favor=libro nomina_por_pagar=libro cuadra=t,2900=+3000.00 2220=+600.00 accionista_por_cobrar=libro prestamo_accionista=libro impuestos_a_favor=libro nomina_por_pagar=libro cuadra=t,true,2026-09-26 14:40:09.187402+00
75,"un ajuste del CPA al año cuenta como del 31-dic, no como de octubre","posteriores=apertura:+0.00,oct:+0.00,nov:+0.00,dic:+750.00,anio:+750.00 balance_2050=oct:+0.00,dic:+750.00","posteriores=apertura:+0.00,oct:+0.00,nov:+0.00,dic:+750.00,anio:+750.00 balance_2050=oct:+0.00,dic:+750.00",true,2026-09-26 14:40:09.187402+00
76,el flujo del año de la apertura empieza con lo que ella trajo,"inicio=apertura:t,t piezas_de_la_apertura=0 final=balance:t,t","inicio=apertura:t,t piezas_de_la_apertura=0 final=balance:t,t",true,2026-09-26 14:40:09.187402+00
77,una vista o función ajena que abre las tablas de c4 a la API sale en rojo,"con_ayudantes=f:vista,funcion arreglado=sin_ellas","con_ayudantes=f:vista,funcion arreglado=sin_ellas",true,2026-09-26 14:40:09.187402+00
78,quién y cuándo de una balanza de QuickBooks los pone la base,directo=su_rol:sin_usuario:hoy vigente=la_oficial rastro=2+3,directo=su_rol:sin_usuario:hoy vigente=la_oficial rastro=2+3,true,2026-09-26 14:40:09.187402+00
79,los cambios sin rastro al mapeo y a las diferencias salen en rojo,a_mano=MX003 mapeo_sin_rastro=f:6100 diferencia_sin_rastro=f:1010,a_mano=MX003 mapeo_sin_rastro=f:6100 diferencia_sin_rastro=f:1010,true,2026-09-26 14:40:09.187402+00
80,"protecciones de c4 mira lo que hacen sus guardas, triggers y reglas",guarda=f:fn_estados_inmutable() trigger=f:estados_mapeo.trg_estados_mapeo_historial ajeno=f:estados_historial.c4_pruebas_tragar regla=f:estados_historial.c4_pruebas_nada,guarda=f:fn_estados_inmutable() trigger=f:estados_mapeo.trg_estados_mapeo_historial ajeno=f:estados_historial.c4_pruebas_tragar regla=f:estados_historial.c4_pruebas_nada,true,2026-09-26 14:40:09.187402+00
81,la apertura reversada desde la app no deja todo en verde,"qb=reversada comparacion=rojo control=f:reversada,f:reversada,f:reversada","qb=reversada comparacion=rojo control=f:reversada,f:reversada,f:reversada",true,2026-09-26 14:40:09.187402+00
82,un permiso por columna sobre las tablas de c4 sale en rojo,grant=f:service_role:INSERT:saldo,grant=f:service_role:INSERT:saldo,true,2026-09-26 14:40:09.187402+00
83,un depósito de verdad parecido no tumba el escenario de las pruebas,reales=2 escenario=montado,reales=2 escenario=montado,true,2026-09-26 14:40:09.187402+00
84,un mapeo equivocado de QuickBooks no pasa la apertura,mapeo_equivocado=MX001:net_income+total_assets+job_materials sin_control=MX001:faltan,mapeo_equivocado=MX001:net_income+total_assets+job_materials sin_control=MX001:faltan,true,2026-09-26 14:40:09.187402+00
85,el Customer:Job mapeado a otra obra no manda a dar de alta una factura que ya está,carga=MX006:si_esta:en_su_obra:corrige_el_mapeo,carga=MX006:si_esta:en_su_obra:corrige_el_mapeo,true,2026-09-26 14:40:09.187402+00
