n,prueba,esperado,obtenido,ok
64,"con saldo vivo, una regla de dimensión no se endurece si lo atrapa",obligatoria=MX003 prohibida=MX003,obligatoria=MX003 prohibida=MX003,true
65,"una sola apertura, ni con su guarda apagada",segunda=23505 sin_indice=periodos:f,segunda=23505 sin_indice=periodos:f,true
66,una cuenta reescrita con ALTER TABLE … TYPE se delata,cuentas=f huella_tabla=t,cuentas=f huella_tabla=t,true
67,"cerrar dos veces: la hora del cierre, en Miami",MX002 (hora de Miami),MX002 (hora de Miami),true
68,"permisos ve una función SECURITY DEFINER ajena que lee el libro, y la vista que la llama",anon_lee=si funcion=lo_ve vista=lo_ve puerta=lo_ve invoker=calla,anon_lee=si funcion=lo_ve vista=lo_ve puerta=lo_ve invoker=calla,true
69,"volver a pegar e37 no enciende permisos; lo de verdad sí, con el archivo que lo arregla",e37=no_cambia puerta_interna=c2-libro.sql guarda_c1=c1-plan-de-cuentas.sql,e37=no_cambia puerta_interna=c2-libro.sql guarda_c1=c1-plan-de-cuentas.sql,true
70,el reverso de un asiento de un ejercicio anterior es un ajuste de ese ejercicio,dic_cerrado=MX002 (ajuste) a_mano_normal=MX007 reverso=ajuste_cpa/2026-12 sustituto_normal=MX007 sustituto_ajuste=entró resultado_nuevo=0 reversos=t,dic_cerrado=MX002 (ajuste) a_mano_normal=MX007 reverso=ajuste_cpa/2026-12 sustituto_normal=MX007 sustituto_ajuste=entró resultado_nuevo=0 reversos=t,true
71,la apertura cerrada no se reversa: se ajusta (y el verificador lo exige),normal=MX002 (ajuste) apertura=MX002 (ajuste) reversar=MX007 (ajuste) vaciada=lo_ve,normal=MX002 (ajuste) apertura=MX002 (ajuste) reversar=MX007 (ajuste) vaciada=lo_ve,true
72,con saldo abierto por obra (total cero) no se inactiva ni se vuelve de grupo,inactivar=MX003 (por obra) grupo=MX003 (por obra) costo=MX003 (por obra),inactivar=MX003 (por obra) grupo=MX003 (por obra) costo=MX003 (por obra),true
73,los años se cierran en orden (y el verificador lo ve),cerrar=MX002 (en orden) verificar=lo_ve,cerrar=MX002 (en orden) verificar=lo_ve,true
74,el plan tiene dónde devengar sin factura (2050) y dónde poner el FUTA (2225),devengo=entró futa=entró,devengo=entró futa=entró,true
75,las pruebas que cierran toman antes el candado de periodos,MXT09 (candado),MXT09 (candado),true
76,el sustituto de un papel que pasó al año nuevo es un asiento normal de ese año,papel_de_2026=MX007 papel_de_2027=entró/normal/2027 reversos=t,papel_de_2026=MX007 papel_de_2027=entró/normal/2027 reversos=t,true
77,el asiento de un puente no se reversa ni se sustituye a mano,reversar=MX007 (dice fn_recibo_anular) sustituir=MX007 vivo=t,reversar=MX007 (dice fn_recibo_anular) sustituir=MX007 vivo=t,true
78,la policy del libro se evalúa una vez por consulta (select es_dueno()) y dice lo mismo,forma=4/4 permisos=t equipo=0 dueno>0 abierta=f,forma=4/4 permisos=t equipo=0 dueno>0 abierta=f,true
79,"permisos ve lo escondido: join de coma, comentario en medio, función de ayuda",coma=lo_ve comentario=lo_ve anidada=lo_ve inocente=calla,coma=lo_ve comentario=lo_ve anidada=lo_ve inocente=calla,true
80,"las pruebas no dejan rastro (libro, plan, historial, secuencias y huellas)",asientos=0 lineas=0 contadores=0 periodos=18 cerrados=0 inactivas=0 historial=88 secuencias=0 reloj=6ed3b9374d9c huellas=3c2e50a17e2d,asientos=0 lineas=0 contadores=0 periodos=18 cerrados=0 inactivas=0 historial=88 secuencias=0 reloj=6ed3b9374d9c huellas=3c2e50a17e2d,true
